SAR,VIS
1694,1
1696,2
1697,0
1698,1
1699,0
1735,1
1736,1
1737,0
1737,1
1738,1
1738,2
1739,1
1740,1
1742,2
1743,0
1744,0
1766,2
1767,1
1768,0
1776,2
1777,1
1778,0
1784,2
1785,1
1785,2
1786,0
1786,1
1786,2
1787,0
1787,1
1788,0
1788,2
1789,1
1789,2
1790,0
1790,2
1791,0
1791,2
1792,1
1793,0
1795,1
1795,2
1796,0
1796,1
1797,1
1798,0
1802,2
1803,1
1810,2
1811,1
1812,0
1825,2
1826,1
1827,0
1830,2
1831,0
1834,2
1835,1
1835,2
1836,0
1837,0
1837,1
1837,2
1838,0
1838,1
1839,2
1840,0
1840,1
1842,0
1842,2
1843,0
1845,0
1853,2
1854,1
1877,1
1879,1
1881,1
1882,1
1883,0
1883,1
1884,1
1885,1
1888,2
1889,0
1890,0
1922,2
1923,1
1924,0
1930,2
1931,1
1932,1
1932,2
1933,0
1933,1
1934,0
1934,2
1935,1
1935,2
1936,0
1936,2
1937,0
1937,2
1938,1
1939,0
1941,1
1942,0
1943,1
1944,0
1948,2
1949,1
1971,2
1972,1
1973,0
1976,2
1977,0
1980,2
1981,1
1981,2
1982,0
1983,0
1983,1
1983,2
1984,0
1984,1
1984,2
1985,0
1985,1
1985,2
1986,0
1986,1
1988,2
1989,0
1997,2
1998,1
1999,0
2021,2
2022,0
2023,1
2023,2
2025,1
2028,1
2029,0
2029,1
2030,1
2031,1
2034,2
2035,0
2036,0
2075,2
2076,1
2076,2
2077,0
2077,1
2077,2
2078,0
2078,1
2078,2
2079,0
2079,1
2080,0
2080,2
2081,1
2081,2
2082,0
2082,2
2083,0
2083,2
2084,1
2085,0
2087,1
2088,0
2089,1
2090,0
2117,2
2118,1
2119,0
2126,2
2127,1
2127,2
2128,0
2129,1
2129,2
2130,0
2130,1
2130,2
2131,0
2131,1
2131,2
2132,0
2132,1
2134,2
2135,0
2143,2
2144,1
2145,0
2166,2
2167,1
2169,1
2169,2
2171,1
2174,1
2175,0
2175,1
2176,1
2177,1
2180,2
2181,0
2184,2
2185,0
2192,2
2193,1
2194,0
2209,2
2210,0
2219,2
2220,0
2220,2
2221,1
2222,0
2222,2
2223,1
2223,2
2224,0
2224,1
2224,2
2225,0
2225,1
2226,0
2226,2
2227,1
2227,2
2228,0
2228,2
2229,0
2229,2
2230,1
2231,0
2233,1
2234,0
2234,2
2235,0
2263,2
2264,1
2265,0
2272,2
2273,1
2273,2
2274,0
2275,0
2275,1
2275,2
2276,0
2276,1
2277,1
2277,2
2278,0
2278,1
2280,2
2281,0
2289,2
2290,1
2291,0
2307,2
2308,1
2312,2
2313,1
2313,2
2314,0
2315,1
2315,2
2317,1
2319,1
2320,1
2321,0
2321,1
2322,1
2323,1
2326,2
2327,0
2328,0
2330,2
2331,0
2331,1
2332,0
2365,2
2366,0
2368,2
2369,1
2369,2
2370,0
2370,1
2370,2
2371,0
2371,1
2372,0
2372,2
2373,1
2373,2
2374,0
2374,2
2375,0
2375,2
2376,1
2377,0
2379,1
2380,0
2386,2
2387,1
2394,1
2395,0
2398,2
2399,1
2400,0
2409,2
2410,1
2411,0
2418,2
2419,1
2419,2
2420,0
2421,0
2421,2
2422,0
2422,1
2422,2
2423,0
2423,1
2423,2
2424,0
2424,1
2426,1
2426,2
2427,0
2435,2
2436,1
2436,2
2437,0
2437,1
2438,0
2453,2
2454,1
2459,2
2460,0
2461,1
2461,2
2463,1
2465,1
2466,1
2467,0
2467,1
2468,1
2469,1
2470,1
2472,2
2473,0
2474,0
2477,1
2478,0
2480,2
2501,2
2502,0
2513,2
2514,1
2514,2
2515,0
2515,1
2515,2
2516,0
2516,1
2516,2
2517,0
2517,1
2518,0
2518,2
2519,1
2519,2
2520,0
2520,2
2521,0
2521,2
2522,1
2523,0
2525,1
2526,0
2531,2
2532,1
2532,2
2533,0
2533,1
2540,1
2541,0
2555,2
2556,1
2557,0
2564,2
2565,1
2565,2
2566,0
2567,0
2567,2
2568,0
2568,1
2568,2
2569,0
2569,1
2569,2
2570,0
2570,1
2572,1
2572,2
2573,0
2581,2
2582,1
2583,0
2587,2
2588,1
2589,0
2599,2
2600,1
2607,1
2607,2
2609,1
2611,1
2612,1
2613,0
2613,1
2614,1
2615,1
2616,1
2618,2
2619,0
2620,0
2623,1
2624,0
2642,2
2643,1
2644,0
2660,2
2661,1
2661,2
2662,0
2662,1
2662,2
2663,0
2663,1
2664,0
2664,2
2665,1
2665,2
2666,0
2666,2
2667,0
2667,2
2668,1
2669,0
2671,1
2671,2
2672,0
2672,1
2673,1
2674,0
2678,2
2679,1
2701,2
2702,1
2703,0
2710,2
2711,1
2711,2
2712,0
2713,0
2713,2
2714,0
2714,1
2714,2
2715,0
2715,1
2715,2
2716,0
2716,1
2718,1
2718,2
2719,0
2723,2
2724,0
2727,2
2728,1
2729,0
2731,2
2732,1
2733,0
2745,2
2746,1
2750,2
2751,1
2751,2
2752,0
2753,1
2753,2
2758,1
2759,0
2759,1
2760,1
2761,1
2764,2
2765,0
2769,1
2770,0
2788,2
2789,1
2790,0
2803,2
2804,0
2804,2
2805,1
2806,0
2806,2
2807,1
2807,2
2808,0
2808,1
2808,2
2809,0
2809,1
2810,0
2810,2
2811,1
2811,2
2812,0
2812,2
2813,0
2813,2
2814,1
2815,0
2815,2
2816,1
2817,1
2817,2
2818,0
2818,1
2818,2
2819,0
2819,1
2820,0
2824,2
2825,1
2847,2
2848,1
2848,2
2849,0
2849,1
2850,0
2856,2
2857,1
2857,2
2858,0
2859,0
2859,1
2859,2
2860,0
2860,1
2860,2
2861,0
2861,1
2861,2
2862,0
2862,1
2864,1
2864,2
2865,0
2873,2
2874,1
2875,0
2891,2
2892,1
2896,2
2897,1
2897,2
2898,0
2899,1
2899,2
2904,1
2905,0
2905,1
2906,1
2907,1
2910,2
2911,0
2915,1
2916,0
2934,2
2935,1
2936,0
2945,2
2946,1
2947,0
2949,2
2950,0
2950,2
2951,1
2951,2
2952,0
2952,1
2952,2
2953,0
2953,1
2953,2
2954,0
2954,1
2954,2
2955,0
2955,1
2956,0
2956,2
2957,1
2957,2
2958,0
2958,2
2959,0
2959,2
2960,1
2961,0
2961,2
2962,1
2963,1
2963,2
2964,0
2964,1
2965,1
2966,0
2993,2
2994,1
2995,0
3003,1
3003,2
3004,0
3004,1
3005,0
3005,1
3005,2
3006,0
3006,1
3007,1
3007,2
3008,0
3008,1
3010,0
3010,1
3010,2
3011,0
3019,2
3020,1
3021,0
3042,2
3043,1
3043,2
3044,0
3045,1
3045,2
3049,2
3050,0
3050,1
3051,0
3051,1
3052,1
3053,1
3056,2
3057,0
3058,0
3059,1
3060,2
3061,0
3071,1
3072,0
3080,2
3081,1
3082,0
3095,2
3096,0
3097,2
3098,1
3098,2
3099,0
3099,1
3099,2
3100,0
3100,1
3100,2
3101,0
3101,1
3102,0
3102,2
3103,1
3103,2
3104,0
3104,2
3105,0
3105,2
3106,1
3107,0
3109,1
3109,2
3110,0
3110,1
3110,2
3111,0
3111,1
3112,0
3114,2
3115,1
3116,0
3116,2
3117,1
3139,2
3140,1
3141,0
3149,1
3149,2
3150,0
3150,1
3151,0
3151,1
3151,2
3152,0
3152,1
3152,2
3153,0
3153,1
3153,2
3154,0
3154,1
3156,1
3156,2
3157,0
3159,2
3160,0
3161,0
3165,2
3166,1
3167,0
3188,2
3189,1
3189,2
3190,0
3190,2
3191,0
3191,1
3191,2
3195,2
3196,0
3196,1
3197,0
3197,1
3198,1
3199,1
3199,2
3200,0
3202,2
3203,0
3204,0
3206,2
3207,0
3226,2
3227,1
3228,0
3241,2
3242,0
3242,2
3243,1
3243,2
3244,0
3244,1
3244,2
3245,0
3245,1
3245,2
3246,0
3246,1
3246,2
3247,0
3247,1
3248,0
3248,2
3249,1
3249,2
3250,0
3250,2
3251,0
3251,2
3252,1
3253,0
3254,2
3255,0
3255,1
3255,2
3256,0
3256,1
3256,2
3257,0
3257,1
3258,0
3262,2
3263,1
3284,1
3285,0
3285,2
3286,1
3287,0
3295,1
3295,2
3296,0
3296,1
3297,0
3297,1
3297,2
3298,0
3298,1
3298,2
3299,0
3299,1
3299,2
3300,0
3300,1
3302,1
3302,2
3303,0
3305,1
3305,2
3306,0
3311,2
3312,1
3313,0
3334,2
3335,1
3335,2
3336,0
3336,2
3337,0
3337,1
3337,2
3341,2
3342,0
3342,1
3343,0
3343,1
3344,1
3345,1
3345,2
3346,0
3346,2
3347,0
3348,2
3349,0
3350,0
3352,2
3353,0
3353,1
3354,0
3356,2
3372,2
3373,1
3374,0
3383,2
3384,1
3385,0
3387,2
3388,0
3388,2
3389,1
3389,2
3390,0
3390,1
3390,2
3391,0
3391,1
3391,2
3392,0
3392,1
3392,2
3393,0
3393,1
3394,0
3394,2
3395,1
3395,2
3396,0
3396,2
3397,0
3397,2
3398,1
3399,0
3400,2
3401,0
3401,1
3401,2
3402,0
3402,1
3402,2
3403,0
3403,1
3404,0
3408,2
3409,1
3431,2
3432,1
3433,0
3433,2
3434,1
3435,1
3436,0
3449,2
3450,0
3450,2
3451,1
3451,2
3452,0
3452,1
3452,2
3453,0
3453,1
3454,0
3454,1
3455,0
3455,1
3455,2
3456,0
3456,1
3456,2
3457,0
3457,1
3457,2
3458,0
3458,1
3458,2
3459,0
3459,1
3459,2
3460,0
3460,1
3460,2
3461,0
3461,1
3462,0
3465,1
3466,0
3471,2
3472,1
3473,0
3480,2
3481,1
3482,0
3514,2
3515,1
3515,2
3516,0
3516,1
3517,0
3518,2
3519,1
3519,2
3520,0
3528,2
3529,1
3530,1
3530,2
3531,0
3531,1
3532,0
3532,2
3533,1
3534,0
3535,1
3535,2
3536,0
3536,1
3537,0
3537,2
3538,1
3539,0
3540,2
3541,1
3542,0
3569,2
3570,1
3571,0
3572,2
3573,1
3574,0
3580,2
3581,1
3582,0
3584,2
3585,0
3585,2
3586,1
3586,2
3587,0
3587,1
3587,2
3588,0
3588,1
3588,2
3589,0
3589,1
3589,2
3590,0
3590,1
3591,0
3591,2
3592,1
3592,2
3593,0
3593,2
3594,0
3594,2
3595,1
3596,0
3597,2
3598,0
3598,1
3598,2
3599,0
3599,1
3599,2
3600,0
3605,2
3606,1
3613,1
3614,0
3628,2
3629,1
3630,0
3630,2
3631,1
3632,1
3633,0
3647,2
3648,1
3648,2
3649,0
3649,1
3649,2
3650,0
3650,1
3651,0
3651,1
3652,0
3652,1
3652,2
3653,0
3653,1
3653,2
3654,0
3654,1
3654,2
3655,0
3655,1
3655,2
3656,0
3656,1
3656,2
3657,0
3657,1
3657,2
3658,0
3658,1
3659,0
3660,2
3661,1
3662,1
3662,2
3663,0
3663,1
3664,0
3665,2
3666,1
3668,2
3669,1
3670,0
3677,2
3678,1
3679,0
3711,2
3712,1
3712,2
3713,0
3713,1
3714,0
3714,2
3715,1
3715,2
3716,0
3716,1
3716,2
3717,0
3720,2
3721,1
3724,2
3725,1
3725,2
3726,0
3726,1
3727,1
3727,2
3728,0
3728,1
3729,0
3729,2
3730,1
3731,0
3732,1
3733,0
3734,2
3735,1
3736,0
3737,2
3738,1
3739,0
3766,2
3767,1
3768,0
3771,2
3772,0
3777,2
3778,1
3779,0
3781,2
3782,0
3782,2
3783,1
3783,2
3784,0
3784,1
3784,2
3785,0
3785,1
3785,2
3786,0
3786,1
3786,2
3787,0
3787,1
3788,0
3788,2
3789,1
3789,2
3790,0
3790,2
3791,0
3791,2
3792,1
3793,0
3794,2
3795,0
3795,1
3795,2
3796,0
3796,1
3796,2
3797,0
3797,1
3798,0
3802,2
3803,1
3825,2
3826,1
3826,2
3827,0
3827,1
3827,2
3828,0
3828,1
3829,0
3829,1
3830,0
3840,2
3841,1
3842,0
3842,2
3843,1
3844,2
3845,1
3845,2
3846,0
3846,1
3846,2
3847,0
3847,1
3848,0
3848,1
3849,0
3849,1
3849,2
3850,0
3850,1
3850,2
3851,0
3851,1
3851,2
3852,0
3852,1
3852,2
3853,0
3853,1
3853,2
3854,0
3854,1
3854,2
3855,0
3855,1
3856,0
3857,2
3858,1
3859,1
3859,2
3860,0
3860,1
3861,0
3862,2
3863,1
3865,2
3866,1
3867,0
3869,1
3870,0
3874,2
3875,1
3876,0
3876,2
3877,1
3878,0
3908,2
3909,1
3909,2
3910,0
3910,1
3911,0
3912,2
3913,1
3913,2
3914,0
3917,2
3918,1
3919,1
3920,1
3921,0
3921,2
3922,1
3922,2
3923,0
3923,1
3924,1
3924,2
3925,0
3925,1
3926,0
3926,2
3927,1
3928,0
3929,1
3930,0
3934,2
3935,1
3936,0
3947,2
3963,2
3964,1
3965,0
3973,2
3974,1
3975,0
3978,2
3979,0
3979,2
3980,1
3980,2
3981,0
3981,1
3981,2
3982,0
3982,1
3982,2
3983,0
3983,1
3983,2
3984,0
3984,1
3985,0
3985,2
3986,1
3986,2
3987,0
3987,2
3988,0
3988,2
3989,1
3990,0
3991,2
3992,0
3992,1
3992,2
3993,0
3993,1
3994,1
3995,0
3999,2
4000,1
4025,2
4026,2
4027,1
4028,1
4029,0
4030,0
4044,2
4045,1
4046,1
4047,0
4047,2
4048,1
4049,0
4050,2
4051,1
4051,2
4052,1
4052,2
4053,0
4053,1
4053,2
4054,0
4054,1
4055,0
4055,1
4056,0
4056,1
4057,0
4057,1
4057,2
4058,0
4058,1
4058,2
4059,0
4059,1
4059,2
4060,0
4060,1
4060,2
4061,0
4061,1
4061,2
4062,0
4062,1
4062,2
4063,0
4063,1
4063,2
4064,0
4064,1
4064,2
4065,0
4065,1
4065,2
4066,0
4066,1
4067,0
4067,1
4068,0
4069,2
4070,2
4071,1
4072,1
4073,1
4074,0
4077,2
4078,1
4079,0
4081,2
4082,2
4083,1
4084,0
4085,0
4087,1
4088,1
4089,0
4094,2
4095,1
4096,0
4096,2
4097,1
4098,0
4138,2
4139,1
4139,2
4140,1
4140,2
4141,0
4141,1
4142,0
4143,0
4144,2
4145,1
4145,2
4146,0
4146,1
4147,0
4154,1
4155,1
4156,0
4156,2
4157,0
4157,2
4158,1
4158,2
4159,0
4159,1
4160,0
4160,2
4161,1
4161,2
4162,0
4162,1
4163,0
4163,1
4164,0
4164,2
4165,1
4166,1
4167,0
4168,1
4169,1
4170,0
4176,2
4177,2
4178,1
4179,0
4180,0
4203,1
4204,0
4212,2
4213,1
4214,0
4222,2
4223,1
4224,0
4227,2
4228,0
4228,2
4229,1
4229,2
4230,0
4230,1
4230,2
4231,0
4231,1
4231,2
4232,0
4232,1
4232,2
4233,0
4233,1
4234,0
4234,2
4235,1
4235,2
4236,0
4236,2
4237,0
4237,2
4238,1
4239,0
4239,2
4240,1
4241,1
4241,2
4242,0
4242,1
4248,2
4249,1
4274,2
4275,2
4276,1
4277,1
4278,0
4279,0
4293,2
4294,1
4295,1
4296,0
4299,2
4300,1
4300,2
4301,1
4301,2
4302,0
4302,1
4302,2
4303,0
4303,1
4304,0
4304,1
4305,0
4305,1
4306,0
4306,1
4306,2
4307,0
4307,1
4307,2
4308,0
4308,1
4308,2
4309,0
4309,1
4309,2
4310,0
4310,1
4310,2
4311,0
4311,1
4311,2
4312,0
4312,1
4312,2
4313,0
4313,1
4313,2
4314,0
4314,1
4314,2
4315,0
4315,1
4316,0
4316,1
4317,0
4318,2
4319,2
4320,1
4321,1
4322,1
4323,0
4323,2
4324,1
4325,1
4326,0
4326,2
4327,1
4328,0
4335,1
4336,0
4337,0
4343,2
4344,1
4345,0
4345,2
4346,1
4347,0
4387,2
4388,1
4388,2
4389,1
4389,2
4390,0
4390,1
4391,0
4391,2
4392,0
4392,2
4393,1
4393,2
4394,0
4394,1
4394,2
4395,0
4395,1
4396,0
4405,2
4406,2
4407,1
4407,2
4408,0
4408,1
4409,0
4409,2
4410,1
4410,2
4411,0
4411,1
4412,0
4412,1
4413,0
4413,2
4414,1
4415,1
4416,0
4417,1
4418,1
4419,0
4420,2
4421,2
4422,1
4423,0
4425,2
4426,2
4427,1
4428,0
4429,0
4461,2
4462,1
4463,0
4463,2
4464,1
4465,0
4476,2
4477,0
4478,2
4479,1
4479,2
4480,0
4480,1
4481,1
4481,2
4482,0
4482,1
4483,0
4483,2
4484,1
4484,2
4485,0
4485,1
4486,0
4486,2
4487,0
4487,2
4488,1
4488,2
4489,0
4489,1
4490,0
4491,1
4492,0
4493,2
4494,1
4495,0
4499,2
4500,1
4523,2
4524,1
4524,2
4525,0
4525,1
4525,2
4526,0
4526,1
4526,2
4527,0
4527,1
4528,0
4528,1
4529,0
4530,0
4555,2
4556,2
4557,1
4557,2
4558,1
4558,2
4559,0
4559,1
4559,2
4560,0
4560,1
4560,2
4561,0
4561,1
4562,0
4562,1
4563,0
4563,1
4564,0
4564,1
4565,0
4565,1
4565,2
4566,0
4566,1
4566,2
4567,0
4567,1
4567,2
4568,0
4568,1
4568,2
4569,0
4569,1
4570,0
4570,1
4571,0
4571,2
4572,0
4572,2
4573,1
4573,2
4574,0
4574,1
4574,2
4575,0
4575,1
4575,2
4576,0
4576,1
4576,2
4577,0
4577,1
4578,0
4578,1
4579,0
4580,0
4581,2
4582,2
4583,1
4584,0
4584,2
4585,1
4585,2
4586,1
4586,2
4587,0
4587,1
4588,0
4588,1
4589,0
4590,0
4591,2
4592,2
4593,1
4594,0
4603,1
4604,0
4605,0
4606,0
4613,2
4614,1
4615,0
4615,2
4616,1
4617,0
4658,2
4659,1
4659,2
4660,1
4660,2
4661,0
4661,1
4662,0
4662,1
4663,0
4663,2
4664,0
4664,2
4665,1
4665,2
4666,1
4666,2
4667,0
4667,1
4667,2
4668,0
4668,1
4669,0
4670,0
4682,2
4683,2
4684,1
4684,2
4685,1
4685,2
4686,0
4686,1
4687,0
4687,2
4688,1
4688,2
4689,1
4689,2
4690,0
4690,1
4691,0
4691,1
4692,0
4692,2
4693,0
4693,2
4694,1
4695,1
4696,0
4697,2
4698,1
4699,1
4700,0
4701,0
4709,2
4710,2
4711,1
4712,1
4713,0
4714,0
4749,2
4750,1
4751,0
4751,2
4752,1
4753,0
4760,2
4761,1
4762,0
4766,2
4767,1
4767,2
4768,0
4768,1
4769,1
4769,2
4770,0
4770,1
4771,0
4771,2
4772,1
4772,2
4773,0
4773,1
4774,0
4774,2
4775,0
4775,2
4776,1
4777,0
4777,2
4778,1
4781,2
4782,1
4783,0
4787,2
4788,1
4813,2
4814,2
4815,1
4816,1
4817,0
4818,0
4843,2
4844,2
4845,1
4845,2
4846,1
4846,2
4847,0
4847,1
4847,2
4848,0
4848,1
4848,2
4849,0
4849,1
4850,0
4850,1
4851,0
4851,1
4852,0
4852,1
4853,0
4853,1
4853,2
4854,0
4854,1
4854,2
4855,0
4855,1
4855,2
4856,0
4856,1
4856,2
4857,0
4857,1
4858,0
4858,1
4859,0
4859,2
4860,0
4860,2
4861,1
4861,2
4862,0
4862,1
4862,2
4863,0
4863,1
4863,2
4864,0
4864,1
4864,2
4865,0
4865,1
4866,0
4866,1
4867,0
4868,0
4872,2
4873,1
4874,1
4875,0
4876,0
4879,2
4880,2
4881,1
4882,0
4887,2
4888,2
4889,1
4890,1
4891,0
4901,2
4902,1
4902,2
4903,0
4903,1
4904,0
4946,2
4947,1
4947,2
4948,1
4948,2
4949,0
4949,1
4950,0
4950,1
4951,0
4951,2
4952,0
4952,2
4953,1
4953,2
4954,1
4954,2
4955,0
4955,1
4955,2
4956,0
4956,1
4957,0
4958,0
4970,2
4971,2
4972,1
4972,2
4973,1
4973,2
4974,0
4974,1
4974,2
4975,0
4975,1
4975,2
4976,0
4976,1
4976,2
4977,0
4977,1
4977,2
4978,0
4978,1
4979,0
4979,1
4980,0
4980,2
4981,0
4981,2
4982,1
4983,1
4984,0
4985,2
4986,1
4987,1
4988,0
4989,0
4997,2
4998,2
4999,1
5000,1
5001,0
5002,0
5039,2
5040,1
5040,2
5041,0
5041,1
5042,0
5042,2
5043,0
5047,2
5048,1
5048,2
5049,0
5049,1
5050,0
5054,2
5055,1
5055,2
5056,0
5056,1
5056,2
5057,0
5057,1
5057,2
5058,0
5058,1
5059,0
5059,2
5060,1
5060,2
5061,0
5061,1
5062,0
5062,2
5063,0
5063,2
5064,1
5065,0
5065,2
5066,1
5067,1
5068,0
5069,2
5070,1
5071,0
5075,2
